"t","y","x1","x2","x3","x4","x5","x6","x7","x8","x9"
"1",0.94989588782018,0.39624927513969,1.55493638161728,1.33280035288032,1.12413657944314,-1.82352363836805,1.46067194917932,1.20554448855767,1.71287458515655,1.58122879030379
"1",1.23205604256087,0.959615211749633,1.37010689138355,1.26908673249821,0.685489825476613,-1.92071639958878,1.34685268342517,1.9119935211425,1.93309589185869,2.09737404326355
"1",0.94021163302024,-0.412650381627559,1.8626993881445,2.00445721249094,0.338823277011164,-1.57125428144757,0.760204723537255,0.814564646538738,1.55156764375949,1.48685600369678
"1",0.737984361980636,0.48558511579588,0.812691171448489,1.45172535398397,-0.0493179706022847,-1.29730430393996,0.894156400398292,0.277042858081814,1.5430273725851,0.933544702531668
"1",1.01958237934315,0.821287184670023,1.72621297346537,1.43492866003212,1.10560795927487,-2.20284326150608,1.11765987494678,1.04794531094293,2.03880655112423,1.70583167921883
"0",0.841408389751735,-0.130359990994684,-0.478299396327189,1.57060412566643,0.121336643853885,0.90124968147152,0.215210521239291,-0.903761123239389,0.471597803863682,0.452753610136188
"1",0.683365652386708,-0.139461905752949,1.57599309339231,1.22051628986664,0.788112685522503,-1.89546044796175,1.29185824375539,0.303311158178176,1.95370405595449,1.76058579534938
"1",0.520555929515109,0.618360646533093,1.05907330322512,1.86369458854516,0.408872459291433,-1.08281955756562,0.962869985789526,1.89060349861484,1.07579501288238,1.82504061571515
"1",0.799245129328794,-0.679055331544878,1.63292169343346,1.50943659545437,0.316448429038371,-1.62693621167275,1.27779999715965,0.964044370260728,2.08961093498503,1.92186417733054
"0",0.632778063491361,0.0172854247980333,0.616299108066793,1.81599167811911,-0.19832282015878,0.00496668225001379,0.350053979348696,0.188670720710796,0.786989822422621,0.932500180783125
"0",0.142684014198077,-0.0799524439254649,1.47697671610259,0.904323524528905,0.0255206051532221,-0.855050659026248,1.35457100308123,0.922384094134308,0.907664221453364,0.98222903267891
"1",0.312218178993591,1.23576937550737,2.35311792525284,0.371104954807558,0.998313982538426,-3.02965825505464,2.27770432933144,2.01476076666258,2.96884364235397,3.04193088714341
